[2026-01-06 17:49:49] [DE] n_iter = 129, time = 0.031 s, [Ackley] best_obj = 5.702648e+00
[2026-01-06 17:49:49] [DE] n_iter = 130, time = 0.031 s, [Ackley] best_obj = 5.363825e+00
[2026-01-06 17:49:49] [DE] n_iter = 131, time = 0.032 s, [Ackley] best_obj = 5.363825e+00
[2026-01-06 17:49:49] [DE] n_iter = 132, time = 0.032 s, [Ackley] best_obj = 4.954203e+00
[2026-01-06 17:49:49] [DE] n_iter = 133, time = 0.032 s, [Ackley] best_obj = 4.954203e+00
[2026-01-06 17:49:49] [DE] n_iter = 134, time = 0.032 s, [Ackley] best_obj = 4.954203e+00
[2026-01-06 17:49:49] [DE] n_iter = 135, time = 0.032 s, [Ackley] best_obj = 4.954203e+00
[2026-01-06 17:49:49] [DE] n_iter = 136, time = 0.033 s, [Ackley] best_obj = 4.954203e+00
[2026-01-06 17:49:49] [DE] n_iter = 137, time = 0.033 s, [Ackley] best_obj = 4.954203e+00
[2026-01-06 17:49:49] [DE] n_iter = 138, time = 0.033 s, [Ackley] best_obj = 4.595598e+00
[2026-01-06 17:49:49] [DE] n_iter = 139, time = 0.033 s, [Ackley] best_obj = 4.595598e+00
[2026-01-06 17:49:49] [DE] n_iter = 140, time = 0.033 s, [Ackley] best_obj = 4.516459e+00
[2026-01-06 17:49:49] [DE] n_iter = 141, time = 0.033 s, [Ackley] best_obj = 4.516459e+00
[2026-01-06 17:49:49] [DE] n_iter = 142, time = 0.033 s, [Ackley] best_obj = 4.516459e+00
[2026-01-06 17:49:49] [DE] n_iter = 143, time = 0.034 s, [Ackley] best_obj = 4.027377e+00
[2026-01-06 17:49:49] [DE] n_iter = 144, time = 0.034 s, [Ackley] best_obj = 4.027377e+00
[2026-01-06 17:49:49] [DE] n_iter = 145, time = 0.034 s, [Ackley] best_obj = 4.027377e+00
[2026-01-06 17:49:49] [DE] n_iter = 146, time = 0.034 s, [Ackley] best_obj = 4.027377e+00
[2026-01-06 17:49:49] [DE] n_iter = 147, time = 0.034 s, [Ackley] best_obj = 4.027377e+00
[2026-01-06 17:49:49] [DE] n_iter = 148, time = 0.034 s, [Ackley] best_obj = 4.027377e+00
[2026-01-06 17:49:49] [DE] n_iter = 149, time = 0.035 s, [Ackley] best_obj = 3.767446e+00
[2026-01-06 17:49:49] [DE] n_iter = 150, time = 0.035 s, [Ackley] best_obj = 3.767446e+00
[2026-01-06 17:49:49] [DE] n_iter = 151, time = 0.035 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 152, time = 0.035 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 153, time = 0.035 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 154, time = 0.035 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 155, time = 0.036 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 156, time = 0.036 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 157, time = 0.036 s, [Ackley] best_obj = 3.753411e+00
[2026-01-06 17:49:49] [DE] n_iter = 158, time = 0.036 s, [Ackley] best_obj = 3.658014e+00
[2026-01-06 17:49:49] [DE] n_iter = 159, time = 0.036 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 160, time = 0.036 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 161, time = 0.037 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 162, time = 0.037 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 163, time = 0.037 s, [Ackley] best_obj = 3.341283e+00
[2026-01-06 17:49:49] [DE] n_iter = 164, time = 0.037 s, [Ackley] best_obj = 3.341283e+00
